index,para_name,W_in,W_out,R_min,lambda_center_nm,T_list2_center,valid,status,basic_mat_path
1,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.45_W_out_1.66_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.45,1.66,30,1550,1.00067593450802,1,simulated,G:\eulersbend_opt_20260409data\dat_eulersbend_opt_20260409\eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.45_W_out_1.66_R_min_30_total_angle_deg_30_straight_length_5_N_point_501\basic.mat
2,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.45_W_out_1.66_R_min_35_total_angle_deg_30_straight_length_5_N_point_501,0.45,1.66,35,1550,1.00196718838997,1,simulated,G:\eulersbend_opt_20260409data\dat_eulersbend_opt_20260409\eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.45_W_out_1.66_R_min_35_total_angle_deg_30_straight_length_5_N_point_501\basic.mat
3,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.45_W_out_1.66_R_min_40_total_angle_deg_30_straight_length_5_N_point_501,0.45,1.66,40,1550,1.00326212007869,1,simulated,G:\eulersbend_opt_20260409data\dat_eulersbend_opt_20260409\eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.45_W_out_1.66_R_min_40_total_angle_deg_30_straight_length_5_N_point_501\basic.mat
4,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.45_W_out_1.66_R_min_45_total_angle_deg_30_straight_length_5_N_point_501,0.45,1.66,45,1550,1.00351643533749,1,simulated,G:\eulersbend_opt_20260409data\dat_eulersbend_opt_20260409\eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.45_W_out_1.66_R_min_45_total_angle_deg_30_straight_length_5_N_point_501\basic.mat
NaN,,NaN,NaN,NaN,NaN,NaN,0,,
NaN,,NaN,NaN,NaN,NaN,NaN,0,,
NaN,,NaN,NaN,NaN,NaN,NaN,0,,
NaN,,NaN,NaN,NaN,NaN,NaN,0,,
NaN,,NaN,NaN,NaN,NaN,NaN,0,,
NaN,,NaN,NaN,NaN,NaN,NaN,0,,
NaN,,NaN,NaN,NaN,NaN,NaN,0,,
